order_number,customer_state,index,order_number,employee_id,employee_name,employee_job_title,order_date,order_type,customer_type,cust_id,customer_name,prod_category,prod_number,prod_name,quantity,price,order_total
1102935,Arkansas,0,1102935,900019019,Alexandra Kundt,Senior Sales Associate,2/9/2019,Retail,Individual,1574,Skipton Fealty,Olive Oil,OO206,Chili Extra Virgin Olive Oil 2pk,3,$45.00 ,135.0
1102976,Missouri,2,1102976,900019019,Alexandra Kundt,Senior Sales Associate,2/15/2019,Retail,Individual,1809,Lanni D'Ambrogi,Gift Basket,GB301,Scented Olive Oil Candle Gift Basket,1,$19.50 ,19.5
1102988,Mississippi,4,1102988,900019019,Alexandra Kundt,Senior Sales Associate,2/16/2019,Retail,Individual,2253,Far Pow,Olive Oil,OO302,Chili Extra Virgin Olive Oil,4,$26.00 ,104.0
1103012,Texas,5,1103012,900019019,Alexandra Kundt,Senior Sales Associate,2/19/2019,Wholesale,Business,4083,Swift Inc,Olive Oil,OO125,Garlic Extra Virgin Olive Oil 12pk,4,$234.00 ,936.0
1103031,Texas,6,1103031,900019019,Alexandra Kundt,Senior Sales Associate,2/22/2019,Retail,Individual,2678,Carmine Priestnall,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,3,$234.00 ,702.0
1103106,Oklahoma,7,1103106,900019019,Alexandra Kundt,Senior Sales Associate,3/9/2019,Retail,Individual,1913,Tann Angear,Bath products,BP502,Vanilla and Olive Oil Candle,2,$6.99 ,13.98
1103113,Texas,8,1103113,900019019,Alexandra Kundt,Senior Sales Associate,3/11/2019,Wholesale,Business,4090,Hilll Group,Olive Oil,OO206,Chili Extra Virgin Olive Oil 2pk,5,$45.00 ,225.0
1103172,Texas,9,1103172,900019019,Alexandra Kundt,Senior Sales Associate,3/18/2019,Retail,Individual,3896,Devlin Nock,Olive Oil,OO204,Lemon Extra Virgin Olive Oil 2pk,4,$45.00 ,180.0
1103175,Missouri,10,1103175,900019019,Alexandra Kundt,Senior Sales Associate,3/19/2019,Retail,Individual,3761,Jerrilyn Doubrava,Olive Oil,OO307,Rosemary Extra Virgin Olive Oil,3,$26.00 ,78.0
1103240,Arkansas,11,1103240,900019019,Alexandra Kundt,Senior Sales Associate,3/29/2019,Retail,Individual,1574,Skipton Fealty,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,2,$45.00 ,90.0
1103282,Texas,13,1103282,900019019,Alexandra Kundt,Senior Sales Associate,4/3/2019,Retail,Individual,3896,Devlin Nock,Bath products,BP105,Lavender and Olive Oil Lotion,4,$9.99 ,39.96
1103312,Missouri,14,1103312,900019019,Alexandra Kundt,Senior Sales Associate,4/7/2019,Retail,Individual,3186,Granny Matevosian,Bath products,BP303,Mandarin and Olive Oil Bar Soap,1,$5.99 ,5.99
1103348,Oklahoma,15,1103348,900019019,Alexandra Kundt,Senior Sales Associate,4/12/2019,Retail,Individual,3542,Dean Wharin,Olive Oil,OO205,Rosemary Extra Virgin Olive Oil 2pk,1,$45.00 ,45.0
1103367,Arkansas,16,1103367,900019019,Alexandra Kundt,Senior Sales Associate,4/14/2019,Retail,Individual,1928,Zonnya Machon,Bath products,BP503,Vanilla and Olive Oil Bar Soap,3,$5.99 ,17.97
1103462,Texas,17,1103462,900019019,Alexandra Kundt,Senior Sales Associate,4/28/2019,Retail,Individual,1268,Skippie Anthill,Olive Oil,OO607,Garlic Extra Virgin Olive Oil 6pk,2,$123.00 ,246.0
1103461,Oklahoma,18,1103461,900019019,Alexandra Kundt,Senior Sales Associate,4/28/2019,Retail,Individual,2523,Gan Philipsson,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,2,$45.00 ,90.0
1103475,Texas,19,1103475,900019019,Alexandra Kundt,Senior Sales Associate,4/29/2019,Retail,Individual,3654,Gabriel Polini,Bath products,BP402,Assorted Olive Bar Soap - 6 pk,3,$30.00 ,90.0
1103537,Mississippi,21,1103537,900019019,Alexandra Kundt,Senior Sales Associate,5/6/2019,Retail,Individual,2253,Far Pow,Gift Basket,GB101,Infused EVOO Gift Basket,3,$75.00 ,225.0
1103597,Texas,22,1103597,900019019,Alexandra Kundt,Senior Sales Associate,5/14/2019,Wholesale,Business,3709,Gerhold Inc,Olive Oil,OO122,Extra Virgin Olive Oil - Bold 12pk,11,$234.00 ,2574.0
1103614,New Mexico,23,1103614,900019019,Alexandra Kundt,Senior Sales Associate,5/16/2019,Retail,Individual,4037,Sheena Steuhlmeyer,Olive Oil,OO605,Chili Extra Virgin Olive Oil 6pk,4,$123.00 ,492.0
1103631,Texas,24,1103631,900019019,Alexandra Kundt,Senior Sales Associate,5/19/2019,Wholesale,Business,2402,Daugherty Group,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,14,$234.00 ,3276.0
1103811,Texas,25,1103811,900019019,Alexandra Kundt,Senior Sales Associate,6/17/2019,Wholesale,Business,4090,Hilll Group,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,1,$234.00 ,234.0
1103824,Texas,26,1103824,900019019,Alexandra Kundt,Senior Sales Associate,6/18/2019,Retail,Individual,3654,Gabriel Polini,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,3,$234.00 ,702.0
1103901,Texas,27,1103901,900019019,Alexandra Kundt,Senior Sales Associate,6/29/2019,Retail,Individual,1951,Lincoln Bloxholm,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,2,$234.00 ,468.0
1104026,Texas,28,1104026,900019019,Alexandra Kundt,Senior Sales Associate,7/14/2019,Retail,Individual,4096,Mia Walkden,Bath products,BP300,Mandarin and Olive Body Soap,3,$7.45 ,22.35
1104067,Louisiana,29,1104067,900019019,Alexandra Kundt,Senior Sales Associate,7/21/2019,Retail,Individual,1976,Erik Grinley,Gift Basket,GB301,Scented Olive Oil Candle Gift Basket,2,$19.50 ,39.0
1104066,Texas,30,1104066,900019019,Alexandra Kundt,Senior Sales Associate,7/21/2019,Retail,Individual,4107,Alexis Cripps,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,2,$234.00 ,468.0
1104083,Texas,31,1104083,900019019,Alexandra Kundt,Senior Sales Associate,7/22/2019,Wholesale,Business,3709,Gerhold Inc,Olive Oil,OO122,Extra Virgin Olive Oil - Bold 12pk,11,$234.00 ,2574.0
1104122,Louisiana,32,1104122,900019019,Alexandra Kundt,Senior Sales Associate,7/28/2019,Retail,Individual,1671,Viv Frankton,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,3,$234.00 ,702.0
1104198,Texas,33,1104198,900019019,Alexandra Kundt,Senior Sales Associate,8/8/2019,Retail,Individual,2013,Rourke Bernardt,Gift Basket,GB100,Organic EVOO Gift Basket,1,$70.00 ,70.0
1104231,Texas,34,1104231,900019019,Alexandra Kundt,Senior Sales Associate,8/14/2019,Retail,Individual,1984,Jewel Prandoni,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,3,$234.00 ,702.0
1104317,Arkansas,35,1104317,900019019,Alexandra Kundt,Senior Sales Associate,8/26/2019,Retail,Individual,3765,Lolita Dreschler,Gift Basket,GB303,Scented Olive Oil Lotion Gift Basket,1,$27.00 ,27.0
1104404,Texas,36,1104404,900019019,Alexandra Kundt,Senior Sales Associate,9/7/2019,Retail,Individual,1583,Georgianna Harrild,Bath products,BP103,Lavender and Olive Oil Bar Soap,4,$5.99 ,23.96
1104460,Texas,37,1104460,900019019,Alexandra Kundt,Senior Sales Associate,9/16/2019,Retail,Individual,1594,Kellen Mochan,Bath products,BP104,Lavender and Olive Oil Bar Soap 3pk,1,$14.50 ,14.5
1104506,Texas,38,1104506,900019019,Alexandra Kundt,Senior Sales Associate,9/23/2019,Retail,Individual,1345,Aridatha Revett,Olive Oil,OO608,Rosemary Extra Virgin Olive Oil 6pk,2,$123.00 ,246.0
1104527,Missouri,39,1104527,900019019,Alexandra Kundt,Senior Sales Associate,9/27/2019,Retail,Individual,2954,Annaliese Sheeres,Bath products,BP401,Assorted Olive Oil Bar Soap - 3 pk,4,$14.50 ,58.0
1104558,Louisiana,40,1104558,900019019,Alexandra Kundt,Senior Sales Associate,10/1/2019,Retail,Individual,3366,Marijn Alden,Gift Basket,GB304,Scented Olive Oil Bath Salts Gift Basket,3,$35.00 ,105.0
1104555,Texas,41,1104555,900019019,Alexandra Kundt,Senior Sales Associate,10/1/2019,Retail,Individual,2942,Mandi de Merida,Olive Oil,OO203,Garlic Extra Virgin Olive Oil 2pk,2,$45.00 ,90.0
